Source,Target,Type,Label,Weight
156276864,5633542,Undirected,,1
156276864,59601870,Undirected,,1
156276864,69333034,Undirected,,1
156276864,72184447,Undirected,,1
156276864,76557194,Undirected,,1
156276864,83100792,Undirected,,1
156276864,86592246,Undirected,,1
156276864,90213067,Undirected,,1
156276864,91787177,Undirected,,1
156276864,94071024,Undirected,,1
156276864,95342553,Undirected,,1
156276864,116173722,Undirected,,1
156276864,134154469,Undirected,,1
156276864,134299669,Undirected,,1
156276864,138014198,Undirected,,1
156276864,139526196,Undirected,,1
156276864,142251641,Undirected,,1
156276864,146594420,Undirected,,1
156276864,151812666,Undirected,,1
156276864,153743935,Undirected,,1
156276864,159312047,Undirected,,1
156276864,160500954,Undirected,,1
156276864,162760954,Undirected,,1
156276864,163351380,Undirected,,1
156276864,163864280,Undirected,,1
156276864,166924904,Undirected,,1
156276864,173282696,Undirected,,1
156276864,174583385,Undirected,,1
156276864,174669747,Undirected,,1
156276864,180733926,Undirected,,1
156276864,181019362,Undirected,,1
156276864,182022463,Undirected,,1
156276864,182676576,Undirected,,1
156276864,183164574,Undirected,,1
156276864,184448083,Undirected,,1
156276864,192027816,Undirected,,1
156276864,195032439,Undirected,,1
156276864,197929099,Undirected,,1
156276864,206062093,Undirected,,1
156276864,212426402,Undirected,,1
156276864,213782169,Undirected,,1
156276864,214375577,Undirected,,1
156276864,215376998,Undirected,,1
156276864,215386183,Undirected,,1
156276864,216632334,Undirected,,1
156276864,219134828,Undirected,,1
156276864,222903299,Undirected,,1
156276864,226393874,Undirected,,1
156276864,226523812,Undirected,,1
156276864,229893309,Undirected,,1
156276864,231975013,Undirected,,1
156276864,236144996,Undirected,,1
156276864,238653053,Undirected,,1
156276864,240098786,Undirected,,1
156276864,240515638,Undirected,,1
156276864,241775472,Undirected,,1
156276864,242516815,Undirected,,1
156276864,244165604,Undirected,,1
156276864,244338586,Undirected,,1
156276864,245614024,Undirected,,1
156276864,247562677,Undirected,,1
156276864,254482534,Undirected,,1
156276864,260516994,Undirected,,1
156276864,267696601,Undirected,,1
156276864,268814873,Undirected,,1
156276864,272617503,Undirected,,1
156276864,273044801,Undirected,,1
156276864,277134088,Undirected,,1
156276864,277340096,Undirected,,1
156276864,279553423,Undirected,,1
156276864,279667978,Undirected,,1
156276864,293894854,Undirected,,1
156276864,321294599,Undirected,,1
156276864,337110315,Undirected,,1
156276864,361810545,Undirected,,1
156276864,370971887,Undirected,,1
156276864,385677579,Undirected,,1
156276864,392557336,Undirected,,1
156276864,400749929,Undirected,,1
156276864,421452203,Undirected,,1
